sample_id,environment,ros2_pub_command,raw_rrt,raw_llm,s_u,s_x
1247,"{""start"":{""x"":2.94,""y"":3.14,""z"":-0.25},""goal"":{""x"":3.05,""y"":1.82,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":2.94,""y"":3.14,""z"":-0.25},{""x"":3.05,""y"":1.82,""z"":-0.25}]","[{""x"":2.94,""y"":3.14,""z"":-0.25},{""x"":3.05,""y"":1.82,""z"":-0.25}]",0.0,0.0
1248,"{""start"":{""x"":1.49,""y"":2.39,""z"":-0.25},""goal"":{""x"":2.78,""y"":0.39,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[1.75,1.15,-0.75],""max_corner"":[2.32,1.44,0.25],""size"":[0.57,0.29,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[1.75,1.15,-0.75],\""max_corner\"":[2.32,1.44,0.25],\""size\"":[0.57,0.29,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":1.49,""y"":2.39,""z"":-0.25},{""x"":2.69,""y"":2.26,""z"":-0.25},{""x"":2.88,""y"":1.36,""z"":-0.25},{""x"":2.78,""y"":0.39,""z"":-0.25}]","[{""x"":1.49,""y"":2.39,""z"":-0.25},{""x"":2.8,""y"":1.87,""z"":-0.25},{""x"":2.78,""y"":0.39,""z"":-0.25}]",0.257747,0.292943
1249,"{""start"":{""x"":3.34,""y"":2.43,""z"":-0.25},""goal"":{""x"":3.3,""y"":0.02,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":3.34,""y"":2.43,""z"":-0.25},{""x"":3.3,""y"":0.02,""z"":-0.25}]","[{""x"":3.34,""y"":2.43,""z"":-0.25},{""x"":3.3,""y"":0.02,""z"":-0.25}]",0.0,0.0
1250,"{""start"":{""x"":1.71,""y"":1.42,""z"":-0.25},""goal"":{""x"":1.27,""y"":2.66,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.12,2.67,-0.75],""max_corner"":[0.54,3.33,0.25],""size"":[0.42,0.67,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[0.12,2.67,-0.75],\""max_corner\"":[0.54,3.33,0.25],\""size\"":[0.42,0.67,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":1.71,""y"":1.42,""z"":-0.25},{""x"":1.27,""y"":2.66,""z"":-0.25}]","[{""x"":1.71,""y"":1.42,""z"":-0.25},{""x"":1.27,""y"":2.66,""z"":-0.25}]",0.0,0.0
1251,"{""start"":{""x"":0.94,""y"":1.76,""z"":-0.25},""goal"":{""x"":2.42,""y"":0.11,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[1.73,2.8,-0.75],""max_corner"":[1.99,3.07,0.25],""size"":[0.26,0.27,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.42,0.44,-0.75],""max_corner"":[1.71,0.82,0.25],""size"":[0.3,0.38,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[1.73,2.8,-0.75],\""max_corner\"":[1.99,3.07,0.25],\""size\"":[0.26,0.27,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[1.42,0.44,-0.75],\""max_corner\"":[1.71,0.82,0.25],\""size\"":[0.3,0.38,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":0.94,""y"":1.76,""z"":-0.25},{""x"":2.62,""y"":0.99,""z"":-0.25},{""x"":2.42,""y"":0.11,""z"":-0.25}]","[{""x"":0.94,""y"":1.76,""z"":-0.25},{""x"":2.07,""y"":1.44,""z"":-0.25},{""x"":2.42,""y"":0.11,""z"":-0.25}]",0.354042,0.411446
1252,"{""start"":{""x"":1.38,""y"":1.28,""z"":-0.25},""goal"":{""x"":2.13,""y"":3.61,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":1.38,""y"":1.28,""z"":-0.25},{""x"":2.13,""y"":3.61,""z"":-0.25}]","[{""x"":1.38,""y"":1.28,""z"":-0.25},{""x"":2.13,""y"":3.61,""z"":-0.25}]",0.0,0.0
1253,"{""start"":{""x"":2.84,""y"":3.86,""z"":-0.25},""goal"":{""x"":2.02,""y"":0.12,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":2.84,""y"":3.86,""z"":-0.25},{""x"":2.02,""y"":0.12,""z"":-0.25}]","[{""x"":2.84,""y"":3.86,""z"":-0.25},{""x"":2.02,""y"":0.12,""z"":-0.25}]",0.0,0.0
1254,"{""start"":{""x"":0.42,""y"":2.34,""z"":-0.25},""goal"":{""x"":3.32,""y"":1.43,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.07,0.39,-0.75],""max_corner"":[0.75,0.7,0.25],""size"":[0.68,0.31,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.18,1.17,-0.75],""max_corner"":[1.78,1.71,0.25],""size"":[0.6,0.54,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[1.71,0.54,-0.75],""max_corner"":[2.36,1.25,0.25],""size"":[0.65,0.72,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[0.07,0.39,-0.75],\""max_corner\"":[0.75,0.7,0.25],\""size\"":[0.68,0.31,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[1.18,1.17,-0.75],\""max_corner\"":[1.78,1.71,0.25],\""size\"":[0.6,0.54,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[1.71,0.54,-0.75],\""max_corner\"":[2.36,1.25,0.25],\""size\"":[0.65,0.72,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":0.42,""y"":2.34,""z"":-0.25},{""x"":2.2,""y"":2.27,""z"":-0.25},{""x"":3.32,""y"":1.43,""z"":-0.25}]","[{""x"":0.42,""y"":2.34,""z"":-0.25},{""x"":2.12,""y"":2.27,""z"":-0.25},{""x"":3.32,""y"":1.43,""z"":-0.25}]",0.074251,0.059632
1255,"{""start"":{""x"":1.94,""y"":2.34,""z"":-0.25},""goal"":{""x"":3.06,""y"":2.7,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.04,1.07,-0.75],""max_corner"":[2.33,1.68,0.25],""size"":[0.29,0.62,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.8,1.21,-0.75],""max_corner"":[1.33,1.66,0.25],""size"":[0.52,0.45,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[1.2,1.25,-0.75],""max_corner"":[1.82,1.5,0.25],""size"":[0.62,0.25,1.0]},{""id"":4,""label"":""box_4"",""shape"":""box"",""min_corner"":[2.28,0.19,-0.75],""max_corner"":[2.97,0.65,0.25],""size"":[0.69,0.46,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.04,1.07,-0.75],\""max_corner\"":[2.33,1.68,0.25],\""size\"":[0.29,0.62,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[0.8,1.21,-0.75],\""max_corner\"":[1.33,1.66,0.25],\""size\"":[0.52,0.45,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[1.2,1.25,-0.75],\""max_corner\"":[1.82,1.5,0.25],\""size\"":[0.62,0.25,1.0]},{\""id\"":4,\""label\"":\""box_4\"",\""shape\"":\""box\"",\""min_corner\"":[2.28,0.19,-0.75],\""max_corner\"":[2.97,0.65,0.25],\""size\"":[0.69,0.46,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":1.94,""y"":2.34,""z"":-0.25},{""x"":3.06,""y"":2.7,""z"":-0.25}]","[{""x"":1.94,""y"":2.34,""z"":-0.25},{""x"":3.06,""y"":2.7,""z"":-0.25}]",0.0,0.0
1256,"{""start"":{""x"":2.62,""y"":1.75,""z"":-0.25},""goal"":{""x"":1.45,""y"":3.66,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.2,2.57,-0.75],""max_corner"":[2.78,3.15,0.25],""size"":[0.58,0.58,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.41,1.45,-0.75],""max_corner"":[1.05,2.16,0.25],""size"":[0.64,0.71,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[3.09,2.1,-0.75],""max_corner"":[3.68,2.71,0.25],""size"":[0.6,0.61,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.2,2.57,-0.75],\""max_corner\"":[2.78,3.15,0.25],\""size\"":[0.58,0.58,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[0.41,1.45,-0.75],\""max_corner\"":[1.05,2.16,0.25],\""size\"":[0.64,0.71,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[3.09,2.1,-0.75],\""max_corner\"":[3.68,2.71,0.25],\""size\"":[0.6,0.61,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":2.62,""y"":1.75,""z"":-0.25},{""x"":1.79,""y"":1.72,""z"":-0.25},{""x"":1.45,""y"":3.66,""z"":-0.25}]","[{""x"":2.62,""y"":1.75,""z"":-0.25},{""x"":1.8,""y"":1.94,""z"":-0.25},{""x"":1.45,""y"":3.66,""z"":-0.25}]",0.178302,0.197835
1257,"{""start"":{""x"":0.86,""y"":0.76,""z"":-0.25},""goal"":{""x"":3.82,""y"":0.33,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[1.35,2.71,-0.75],""max_corner"":[1.94,3.09,0.25],""size"":[0.59,0.38,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[1.35,2.71,-0.75],\""max_corner\"":[1.94,3.09,0.25],\""size\"":[0.59,0.38,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":0.86,""y"":0.76,""z"":-0.25},{""x"":3.82,""y"":0.33,""z"":-0.25}]","[{""x"":0.86,""y"":0.76,""z"":-0.25},{""x"":3.82,""y"":0.33,""z"":-0.25}]",0.0,0.0
1258,"{""start"":{""x"":3.22,""y"":2.11,""z"":-0.25},""goal"":{""x"":0.89,""y"":2.68,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.16,0.31,-0.75],""max_corner"":[2.75,0.92,0.25],""size"":[0.59,0.61,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.16,0.31,-0.75],\""max_corner\"":[2.75,0.92,0.25],\""size\"":[0.59,0.61,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.22,""y"":2.11,""z"":-0.25},{""x"":0.89,""y"":2.68,""z"":-0.25}]","[{""x"":3.22,""y"":2.11,""z"":-0.25},{""x"":0.89,""y"":2.68,""z"":-0.25}]",0.0,0.0
1259,"{""start"":{""x"":0.66,""y"":1.23,""z"":-0.25},""goal"":{""x"":2.21,""y"":0.95,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[1.1,1.74,-0.75],""max_corner"":[1.77,2.28,0.25],""size"":[0.67,0.54,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[3.45,0.38,-0.75],""max_corner"":[3.92,0.81,0.25],""size"":[0.47,0.43,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[1.1,1.74,-0.75],\""max_corner\"":[1.77,2.28,0.25],\""size\"":[0.67,0.54,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[3.45,0.38,-0.75],\""max_corner\"":[3.92,0.81,0.25],\""size\"":[0.47,0.43,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":0.66,""y"":1.23,""z"":-0.25},{""x"":2.21,""y"":0.95,""z"":-0.25}]","[{""x"":0.66,""y"":1.23,""z"":-0.25},{""x"":2.21,""y"":0.95,""z"":-0.25}]",0.0,0.0
1260,"{""start"":{""x"":3.33,""y"":1.01,""z"":-0.25},""goal"":{""x"":1.59,""y"":2.26,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.78,1.43,-0.75],""max_corner"":[3.16,1.92,0.25],""size"":[0.38,0.49,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.55,2.96,-0.75],""max_corner"":[0.86,3.47,0.25],""size"":[0.3,0.52,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[1.61,3.36,-0.75],""max_corner"":[2.27,3.77,0.25],""size"":[0.67,0.41,1.0]},{""id"":4,""label"":""box_4"",""shape"":""box"",""min_corner"":[2.47,1.48,-0.75],""max_corner"":[3.19,1.77,0.25],""size"":[0.72,0.3,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.78,1.43,-0.75],\""max_corner\"":[3.16,1.92,0.25],\""size\"":[0.38,0.49,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[0.55,2.96,-0.75],\""max_corner\"":[0.86,3.47,0.25],\""size\"":[0.3,0.52,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[1.61,3.36,-0.75],\""max_corner\"":[2.27,3.77,0.25],\""size\"":[0.67,0.41,1.0]},{\""id\"":4,\""label\"":\""box_4\"",\""shape\"":\""box\"",\""min_corner\"":[2.47,1.48,-0.75],\""max_corner\"":[3.19,1.77,0.25],\""size\"":[0.72,0.3,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.33,""y"":1.01,""z"":-0.25},{""x"":1.95,""y"":0.88,""z"":-0.25},{""x"":1.59,""y"":2.26,""z"":-0.25}]","[{""x"":3.33,""y"":1.01,""z"":-0.25},{""x"":2.31,""y"":0.83,""z"":-0.25},{""x"":1.59,""y"":2.26,""z"":-0.25}]",0.318488,0.277757
1261,"{""start"":{""x"":2.97,""y"":1.94,""z"":-0.25},""goal"":{""x"":0.22,""y"":0.34,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":2.97,""y"":1.94,""z"":-0.25},{""x"":0.22,""y"":0.34,""z"":-0.25}]","[{""x"":2.97,""y"":1.94,""z"":-0.25},{""x"":0.22,""y"":0.34,""z"":-0.25}]",0.0,0.0
1262,"{""start"":{""x"":0.67,""y"":2.49,""z"":-0.25},""goal"":{""x"":3.79,""y"":2.0,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.76,1.17,-0.75],""max_corner"":[1.5,1.9,0.25],""size"":[0.73,0.73,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[3.31,2.5,-0.75],""max_corner"":[3.65,3.14,0.25],""size"":[0.34,0.65,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[0.76,1.17,-0.75],\""max_corner\"":[1.5,1.9,0.25],\""size\"":[0.73,0.73,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[3.31,2.5,-0.75],\""max_corner\"":[3.65,3.14,0.25],\""size\"":[0.34,0.65,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":0.67,""y"":2.49,""z"":-0.25},{""x"":2.18,""y"":2.65,""z"":-0.25},{""x"":2.97,""y"":1.83,""z"":-0.25},{""x"":3.79,""y"":2.0,""z"":-0.25}]","[{""x"":0.67,""y"":2.49,""z"":-0.25},{""x"":1.02,""y"":2.58,""z"":-0.25},{""x"":3.79,""y"":2.0,""z"":-0.25}]",0.280248,0.340108
1263,"{""start"":{""x"":2.72,""y"":1.47,""z"":-0.25},""goal"":{""x"":3.54,""y"":0.18,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":2.72,""y"":1.47,""z"":-0.25},{""x"":3.54,""y"":0.18,""z"":-0.25}]","[{""x"":2.72,""y"":1.47,""z"":-0.25},{""x"":3.54,""y"":0.18,""z"":-0.25}]",0.0,0.0
1264,"{""start"":{""x"":2.54,""y"":1.7,""z"":-0.25},""goal"":{""x"":2.42,""y"":0.4,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[3.17,0.25,-0.75],""max_corner"":[3.74,0.51,0.25],""size"":[0.57,0.26,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.93,0.76,-0.75],""max_corner"":[1.57,1.1,0.25],""size"":[0.63,0.34,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[0.88,1.83,-0.75],""max_corner"":[1.56,2.22,0.25],""size"":[0.68,0.39,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[3.17,0.25,-0.75],\""max_corner\"":[3.74,0.51,0.25],\""size\"":[0.57,0.26,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[0.93,0.76,-0.75],\""max_corner\"":[1.57,1.1,0.25],\""size\"":[0.63,0.34,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[0.88,1.83,-0.75],\""max_corner\"":[1.56,2.22,0.25],\""size\"":[0.68,0.39,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":2.54,""y"":1.7,""z"":-0.25},{""x"":2.42,""y"":0.4,""z"":-0.25}]","[{""x"":2.54,""y"":1.7,""z"":-0.25},{""x"":2.42,""y"":0.4,""z"":-0.25}]",0.0,0.0
1265,"{""start"":{""x"":2.83,""y"":3.42,""z"":-0.25},""goal"":{""x"":0.28,""y"":2.98,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":2.83,""y"":3.42,""z"":-0.25},{""x"":0.28,""y"":2.98,""z"":-0.25}]","[{""x"":2.83,""y"":3.42,""z"":-0.25},{""x"":0.28,""y"":2.98,""z"":-0.25}]",0.0,0.0
1266,"{""start"":{""x"":3.31,""y"":2.87,""z"":-0.25},""goal"":{""x"":1.95,""y"":2.16,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.81,1.97,-0.75],""max_corner"":[3.23,2.38,0.25],""size"":[0.42,0.41,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.03,0.51,-0.75],""max_corner"":[1.62,0.9,0.25],""size"":[0.59,0.39,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[2.76,1.29,-0.75],""max_corner"":[3.03,1.72,0.25],""size"":[0.27,0.43,1.0]},{""id"":4,""label"":""box_4"",""shape"":""box"",""min_corner"":[1.54,1.34,-0.75],""max_corner"":[2.05,1.74,0.25],""size"":[0.5,0.4,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.81,1.97,-0.75],\""max_corner\"":[3.23,2.38,0.25],\""size\"":[0.42,0.41,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[1.03,0.51,-0.75],\""max_corner\"":[1.62,0.9,0.25],\""size\"":[0.59,0.39,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[2.76,1.29,-0.75],\""max_corner\"":[3.03,1.72,0.25],\""size\"":[0.27,0.43,1.0]},{\""id\"":4,\""label\"":\""box_4\"",\""shape\"":\""box\"",\""min_corner\"":[1.54,1.34,-0.75],\""max_corner\"":[2.05,1.74,0.25],\""size\"":[0.5,0.4,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.31,""y"":2.87,""z"":-0.25},{""x"":2.41,""y"":3.25,""z"":-0.25},{""x"":1.95,""y"":2.16,""z"":-0.25}]","[{""x"":3.31,""y"":2.87,""z"":-0.25},{""x"":2.31,""y"":2.85,""z"":-0.25},{""x"":1.95,""y"":2.16,""z"":-0.25}]",0.37923,0.376846
1267,"{""start"":{""x"":3.78,""y"":2.85,""z"":-0.25},""goal"":{""x"":2.67,""y"":1.34,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.18,0.12,-0.75],""max_corner"":[2.81,0.62,0.25],""size"":[0.63,0.51,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[3.58,0.3,-0.75],""max_corner"":[3.89,0.81,0.25],""size"":[0.32,0.51,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[0.74,0.59,-0.75],""max_corner"":[1.42,1.2,0.25],""size"":[0.67,0.62,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.18,0.12,-0.75],\""max_corner\"":[2.81,0.62,0.25],\""size\"":[0.63,0.51,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[3.58,0.3,-0.75],\""max_corner\"":[3.89,0.81,0.25],\""size\"":[0.32,0.51,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[0.74,0.59,-0.75],\""max_corner\"":[1.42,1.2,0.25],\""size\"":[0.67,0.62,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.78,""y"":2.85,""z"":-0.25},{""x"":2.67,""y"":1.34,""z"":-0.25}]","[{""x"":3.78,""y"":2.85,""z"":-0.25},{""x"":2.67,""y"":1.34,""z"":-0.25}]",0.0,0.0
1268,"{""start"":{""x"":2.56,""y"":1.43,""z"":-0.25},""goal"":{""x"":0.16,""y"":2.22,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.17,3.16,-0.75],""max_corner"":[2.89,3.65,0.25],""size"":[0.71,0.49,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.0,3.23,-0.75],""max_corner"":[1.67,3.89,0.25],""size"":[0.67,0.66,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.17,3.16,-0.75],\""max_corner\"":[2.89,3.65,0.25],\""size\"":[0.71,0.49,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[1.0,3.23,-0.75],\""max_corner\"":[1.67,3.89,0.25],\""size\"":[0.67,0.66,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":2.56,""y"":1.43,""z"":-0.25},{""x"":0.16,""y"":2.22,""z"":-0.25}]","[{""x"":2.56,""y"":1.43,""z"":-0.25},{""x"":0.16,""y"":2.22,""z"":-0.25}]",0.0,0.0
